"u,N,18,0","v,N,18,0","key,N,18,0","osmid,C,80","oneway,N,9,0","lanes,C,80","name,C,80","highway,C,80","maxspeed,C,80","length,N,24,15","from,N,18,0","to,N,18,0","ref,C,80","bridge,C,80","tunnel,C,80","junction,C,80","access,C,80"
419484776,422441823,0,36185709,0,2,Avenida Cerros de Camacho,residential,60,500.702,422441823,419484776,,,,,
422441810,8984610597,0,370103620,0,2,Avenida Circunvalaci??n del Golf de los Incas,tertiary,60,288.121,8984610597,422441810,,,,,
422441810,422441823,0,434766219,0,,Calle Los Topacios,residential,60,328.238,422441823,422441810,,,,,
392155817,422441879,0,370103620,0,2,Avenida Circunvalaci??n del Golf de los Incas,tertiary,60,320.319,422441879,392155817,,,,,
392155817,3738262366,0,600849899,1,2,Avenida Circunvalaci??n del Golf de los Incas,tertiary,60,56.268,392155817,3738262366,,,,,
392155817,392155819,0,600849900,1,2,Avenida Circunvalaci??n del Golf de los Incas,tertiary,60,53.61,392155819,392155817,,,,,
422441879,422441875,0,160698089,0,,Agatas,residential,,147.406,422441875,422441879,,,,,
422441879,6277650961,0,370103620,0,2,Avenida Circunvalaci??n del Golf de los Incas,tertiary,60,268.698,6277650961,422441879,,,,,
3738262366,411672095,0,34188743,1,2,Avenida Circunvalaci??n del Golf de los Incas,secondary,60,11.605,3738262366,411672095,,,,,
3738262366,392155819,0,35090735,1,2,Avenida La Fontana,secondary,50,6.776,392155819,3738262366,,,,,
392155819,1724989798,0,158617355,1,2,Avenida Circunvalaci??n del Golf de los Incas,secondary,60,11.212,1724989798,392155819,,,,,
392155831,4354338154,0,158617355,1,2,Avenida Circunvalaci??n del Golf de los Incas,secondary,60,127.366,392155831,4354338154,,,,,
392155831,1024451911,0,158617355,1,2,Avenida Circunvalaci??n del Golf de los Incas,secondary,60,9.805,1024451911,392155831,,,,,
4354338154,7068222077,0,437644655,0,,,residential,,54.666,7068222077,4354338154,,,,,
4354338154,1724989798,0,158617355,1,2,Avenida Circunvalaci??n del Golf de los Incas,secondary,60,414.338,4354338154,1724989798,,,,,
392155832,7068222079,0,756782583,0,,,residential,,103.523,7068222079,392155832,,,,,
392155832,1024451911,0,158617355,1,2,Avenida Circunvalaci??n del Golf de los Incas,secondary,60,90.21,392155832,1024451911,,,,,
393863546,4054858909,0,437463237,1,2,Avenida La Encalada,secondary,,20.478,4054858909,393863546,,,,,
393863548,4054858909,0,280228332,1,2,Avenida La Encalada,secondary,60,46.309,393863548,4054858909,,,,,
393863548,419483450,0,35893406,1,,Jir??n El Cortijo,secondary_link,30,86.781,393863548,419483450,,,,,
4054858909,393864234,0,403107474,1,2,,tertiary,30,11.231,4054858909,393864234,,,,,
4054858909,4054858906,0,403107474,1,2,,tertiary,30,29.743,4054858906,4054858909,,,,,
419483450,4054858906,0,35893405,1,,Jir??n El Cortijo,tertiary,30,40.947,419483450,4054858906,,,,,
419483450,419483451,0,144244967,0,,Jir??n El Cortijo,tertiary,40,147.95,419483451,419483450,,,,,
393863557,419485122,0,439809579,1,,,secondary_link,20,12.188,393863557,419485122,,,,,
393863557,4354297727,0,654331320,1,2,Avenida La Encalada,secondary,60,398.772,393863557,4354297727,,,,,
393863557,393863560,0,654331316,1,2,Avenida La Encalada,secondary,60,60.357,393863560,393863557,,,,,
419485122,4354272937,0,654331312,1,2,Avenida La Encalada,secondary,60,28.577,419485122,4354272937,,,,,
419485122,4354297709,0,280228330,1,2,Avenida La Encalada,secondary,60,50.233,4354297709,419485122,,,,,
393863560,393866241,0,474930778,0,,Jir??n Aldebar?ín,tertiary,40,35.402,393866241,393863560,,,,,
393863560,393863562,0,892789369,1,2,Avenida La Encalada,secondary,60,35.474,393863562,393863560,,,,,
393863560,4354272937,0,437633272,1,,,secondary_link,20,42.016,4354272937,393863560,,,,,
393866241,393866235,0,437498160,0,,Jir??n Aldebar?ín,tertiary,40,146.102,393866235,393866241,,,,,
393866241,393863562,0,34334788,1,2,Los Alamos,secondary_link,30,32.354,393863562,393866241,,,,,
393863562,393863566,0,"[892789369, 892789370]",1,2,Avenida La Encalada,secondary,60,132.701,393863566,393863562,,,,,
393863566,419872504,0,35920041,1,2,Jir??n Cayalti,tertiary,,202.805,393863566,419872504,,,,,
393863566,393864249,0,892789371,1,2,Jir??n Cayalti,tertiary,,11.128,393864249,393863566,,,,,
393863566,419872516,0,279893847,1,2,Avenida La Encalada,secondary,60,71.044,419872516,393863566,,,,,
419872504,419872503,0,35920041,1,2,Jir??n Cayalti,tertiary,,54.792,419872504,419872503,,,,,
419872504,419872537,0,428274854,0,,Calle Zinnia,residential,,139.937,419872537,419872504,,,,,
393863584,393864253,0,892788963,1,3,Avenida Primavera,primary,60,13.349,393863584,393864253,,,,,
393863584,4354250405,0,279893847,1,2,Avenida La Encalada,secondary,60,30.904,393863584,4354250405,,,,,
393863584,393863589,0,279893847,1,2,Avenida La Encalada,secondary,60,16.447,393863589,393863584,,,,,
393863584,4354250400,0,892788963,1,3,Avenida Primavera,primary,60,37.004,4354250400,393863584,,,,,
393864253,393864254,0,892788962,1,2,Avenida La Encalada,secondary,60,15.944,393864253,393864254,,,,,
393864253,3649181802,0,279893845,1,3,Avenida Primavera,primary,60,89.986,393864253,3649181802,,,,,
393864253,419883085,0,892789373,1,2,Avenida La Encalada,secondary,60,54.996,419883085,393864253,,,,,
4354250405,419872491,0,279893847,1,2,Avenida La Encalada,secondary,60,182.916,4354250405,419872491,,,,,
4354250405,4354250400,0,437628649,1,,,primary_link,,36.787,4354250400,4354250405,,,,,
393863589,419867200,0,279893867,1,2,Avenida Primavera,primary,60,146.693,393863589,419867200,,,,,
393863589,393864254,0,892788961,1,4,Avenida Primavera,primary,60,12.476,393864254,393863589,,,,,
393863589,419866979,0,34334532,1,3,Avenida La Encalada,secondary,60,101.147,419866979,393863589,,,,,
419867200,419867207,0,35919400,0,,Tambo Real,residential,30,79.684,419867207,419867200,,,,,
419867200,419872485,0,279893867,1,2,Avenida Primavera,primary,60,111.156,419867200,419872485,,,,,
393863871,4274027189,0,34334532,1,3,Avenida La Encalada,secondary,60,166.81,393863871,4274027189,,,,,
393863871,419866799,0,111945618,0,,Pucala,tertiary,,20.485,419866799,393863871,,,,,
393863871,393864275,0,111945618,0,,Pucala,tertiary,,12.609,393864275,393863871,,,,,
393863871,393863872,0,34334532,1,3,Avenida La Encalada,secondary,60,36.451,393863872,393863871,,,,,
4274027189,419866979,0,34334532,1,3,Avenida La Encalada,secondary,60,63.186,4274027189,419866979,,,,,
4274027189,4274027192,0,428276787,0,,Chavin,residential,,107.021,4274027192,4274027189,,,,,
419866799,393863872,0,36050195,0,2,Jir??n Alonso de Molina,secondary,40,44.226,393863872,419866799,,,,,
419866799,5712464585,0,439108910,0,2,Jir??n Alonso de Molina,secondary,35,35.595,5712464585,419866799,,,,,
393864275,393864276,0,279893882,1,2,Avenida La Encalada,secondary,60,57.912,393864275,393864276,,,,,
393864275,4053997495,0,279893882,1,2,Avenida La Encalada,secondary,60,230.421,4053997495,393864275,,,,,
393864275,1273851939,0,111941248,1,,Jir??n Pucala,tertiary,30,105.82,1273851939,393864275,,,,,
393863872,393864276,0,36050195,0,2,Jir??n Alonso de Molina,secondary,40,25.915,393864276,393863872,,,,,
393864276,421229667,0,36050195,0,2,Jir??n Alonso de Molina,secondary,40,9.315,421229667,393864276,,,,,
393864276,419866894,0,36050199,1,2,Las Casuarinas,tertiary,50,102.402,419866894,393864276,,,,,
393864237,393864239,0,280228330,1,2,Avenida La Encalada,secondary,60,92.131,393864237,393864239,,,,,
393864239,4354297709,0,280228330,1,2,Avenida La Encalada,secondary,60,199.53,393864239,4354297709,,,,,
4354297709,4354297710,0,437637752,0,,,living_street,,82.179,4354297710,4354297709,,,,,
393864249,419883073,0,892789373,1,2,Avenida La Encalada,secondary,60,227.866,393864249,419883073,,,,,
393864249,4354272937,0,"[439809580, 892789374]",1,2,Avenida La Encalada,secondary,60,194.916,4354272937,393864249,,,,,
393864249,419485134,0,892789372,1,2,Jir??n Cayalti,tertiary,,68.224,419485134,393864249,,,,,
419883073,419883065,0,35921104,0,,San Luis,residential,,64.472,419883065,419883073,,,,,
419883073,1840977042,0,892789373,1,2,Avenida La Encalada,secondary,60,132.758,419883073,1840977042,,,,,
393864254,4053997495,0,279893882,1,2,Avenida La Encalada,secondary,60,95.444,393864254,4053997495,,,,,
393864254,3649181798,0,"[439053507, 279893876]",1,"['3', '4']",Avenida Primavera,primary,60,171.103,3649181798,393864254,,,,,
3649181802,419883008,0,279893845,1,3,Avenida Primavera,primary,60,74.077,3649181802,419883008,,,,,
3649181802,3649181798,0,360364934,1,,Avenida Primavera,primary_link,40,106.857,3649181798,3649181802,,,,,
4053997495,419866979,0,327171112,0,,Paramonga,residential,,11.088,419866979,4053997495,,,,,
4053997495,3350764466,0,327171112,0,,Paramonga,residential,,69.055,3350764466,4053997495,,,,,
421229667,421229660,0,36050195,0,2,Jir??n Alonso de Molina,secondary,40,40.961,421229660,421229667,,,,,
421229667,421229536,0,36050198,1,2,Las Casuarinas,tertiary,50,65.286,421229667,421229536,,,,,
393864362,4353134322,0,312318609,1,2,Ovalo Los Delfines,primary,,2.144,393864362,4353134322,,,,roundabout,
393864362,393864366,0,312318609,1,2,Ovalo Los Delfines,primary,,22.566,393864366,393864362,,,,roundabout,
393864362,393866163,0,34334780,1,2,Los Alamos,tertiary,30,32.897,393866163,393864362,,,,,
4353134322,419872619,0,34334779,1,2,Avenida Primavera,primary,60,180.791,4353134322,419872619,,,,,
4353134322,393864377,0,312318609,1,2,Ovalo Los Delfines,primary,,16.701,4353134322,393864377,,,,roundabout,
393864366,393866163,0,34334787,1,2,Jir??n Aldebar?ín,tertiary,30,31.086,393864366,393866163,,,,,
393864366,4353134321,0,312318609,1,2,Ovalo Los Delfines,primary,,8.221,4353134321,393864366,,,,roundabout,
393866163,393866231,0,437498160,0,,Jir??n Aldebar?ín,tertiary,40,96.626,393866231,393866163,,,,,
393864368,4353134321,0,312318609,1,2,Ovalo Los Delfines,primary,,3.407,393864368,4353134321,,,,roundabout,
393864368,393864372,0,312318609,1,2,Ovalo Los Delfines,primary,,23.412,393864372,393864368,,,,roundabout,
393864368,419876821,0,439059012,1,2,Avenida Primavera,primary,60,77.573,419876821,393864368,,,,,
4353134321,419876821,0,"[35920524, 35920525]",0,,"['Los Robles', 'Los Narcisos']",living_street,,166.684,419876821,4353134321,,,,,
393864372,393864451,0,34334622,1,2,Avenida Primavera,primary,60,79.284,393864372,393864451,,,,,
393864372,393864374,0,312318609,1,2,Ovalo Los Delfines,primary,,6.908,393864374,393864372,,,,roundabout,
393864451,4054805268,0,34334622,1,2,Avenida Primavera,primary,60,253.681,393864451,4054805268,,,,,
393864451,419866824,0,35920526,0,,Calle El Recuerdo,residential,,131.563,419866824,393864451,,,,,
393864374,4366597050,0,312318609,1,2,Ovalo Los Delfines,primary,,12.988,4366597050,393864374,,,,roundabout,
393864374,4354193702,0,439626247,1,2,Avenida Central,tertiary,60,18.43,4354193702,393864374,,,,,
393864377,4366597050,0,312318609,1,2,Ovalo Los Delfines,primary,,5.809,393864377,4366597050,,,,roundabout,
393864377,419876825,0,279893867,1,2,Avenida Primavera,primary,60,95.26,419876825,393864377,,,,,
4366597050,4354193701,0,439034557,1,2,Avenida Central,tertiary,60,17.718,4366597050,4354193701,,,,,
4054805268,393864453,0,34334622,1,2,Avenida Primavera,primary,60,34.513,4054805268,393864453,,,,,
4054805268,4054805276,0,403102602,1,,,primary_link,30,39.995,4054805268,4054805276,,,,,
419866824,419866826,0,439034556,0,2,Jir??n Alonso de Molina,secondary,40,43.557,419866826,419866824,,,,,
419866824,393866092,0,439034556,0,2,Jir??n Alonso de Molina,secondary,40,96.525,393866092,419866824,,,,,
393864453,4054805276,0,35921091,0,2,Avenida Nicol?ás Rodrigo,secondary,40,30.024,4054805276,393864453,,,,,
393864453,3787830258,0,437499493,1,2,Avenida Nicol?ás Rodrigo,primary,40,32.532,393864453,3787830258,,,,,
4054805276,4054805261,0,35921091,0,2,Avenida Nicol?ás Rodrigo,secondary,40,52.098,4054805261,4054805276,,,,,
393864760,393866092,0,439034555,0,2,Jir??n Alonso de Molina,secondary,40,14.658,393866092,393864760,,,,,
393864760,393864761,0,439034557,1,2,Avenida Central,tertiary,60,137.055,393864760,393864761,,,,,
393864760,419876823,0,"[439108917, 439108919]",0,2,Jir??n Alonso de Molina,secondary,"['40', '35']",88.307,419876823,393864760,,,,,
393864760,419876826,0,439034557,1,2,Avenida Central,tertiary,60,62.913,419876826,393864760,,,,,
393866092,4354193702,0,439626247,1,2,Avenida Central,tertiary,60,112.035,393866092,4354193702,,,,,
393866092,4353273003,0,439626247,1,2,Avenida Central,tertiary,60,249.461,4353273003,393866092,,,,,
393864761,393864762,0,439034557,1,2,Avenida Central,tertiary,60,71.489,393864761,393864762,,,,,
393864761,419876829,0,35920533,0,,Calle Las Cantuas,residential,,125.039,419876829,393864761,,,,,
419876823,419866823,0,439108917,0,2,Jir??n Alonso de Molina,secondary,40,37.958,419866823,419876823,,,,,
419876823,419876824,0,35920527,0,,Amarilis,residential,,64.208,419876824,419876823,,,,,
393864762,4353272999,0,439034557,1,2,Avenida Central,tertiary,60,38.925,393864762,4353272999,,,,,
393864762,419876830,0,35920534,0,,25 de Setiembre,residential,,126.791,419876830,393864762,,,,,
419876829,419876830,0,35920532,0,,Armardo Alvardo,residential,40,71.42,419876830,419876829,,,,,
419876829,419866823,0,35920532,0,,Armardo Alvardo,residential,40,135.184,419866823,419876829,,,,,
4353272999,4353273003,0,437513571,1,,,tertiary_link,,11.993,4353272999,4353273003,,,,,
4353272999,393865787,0,439034557,1,2,Avenida Central,tertiary,60,20.689,4353272999,393865787,,,,,
419876830,419876831,0,35920532,0,,Armardo Alvardo,residential,40,68.288,419876831,419876830,,,,,
393865787,393866093,0,35920535,0,,Jir??n Johan Sebastian Bach,residential,,10.094,393866093,393865787,,,,,
393865787,419876831,0,35920535,0,,Jir??n Johan Sebastian Bach,residential,,134.467,419876831,393865787,,,,,
393865787,393865791,0,439034557,1,2,Avenida Central,tertiary,60,70.426,393865787,393865791,,,,,
393866093,419876844,0,35920535,0,,Jir??n Johan Sebastian Bach,residential,,135.796,419876844,393866093,,,,,
393866093,4353273003,0,439626247,1,2,Avenida Central,tertiary,60,19.483,393866093,4353273003,,,,,
393866093,5712491010,0,439108924,1,2,Avenida Central,tertiary,60,76.709,5712491010,393866093,,,,,
419876831,5468419532,0,35920535,0,,Jir??n Johan Sebastian Bach,residential,,66.123,5468419532,419876831,,,,,
393865791,4373022201,0,439034557,1,2,Avenida Central,tertiary,60,13.273,393865791,4373022201,,,,,
393865791,419876869,0,35920541,0,,Wolfgang Amadeus Mozart,residential,40,163.746,419876869,393865791,,,,,
4373022201,5712491010,0,600901825,0,,,tertiary_link,,10.431,5712491010,4373022201,,,,,
4373022201,393865793,0,439034557,1,2,Avenida Central,tertiary,60,36.979,4373022201,393865793,,,,,
419876869,419876899,0,35920544,0,,Calle 4,residential,,60.631,419876899,419876869,,,,,
419876869,419876872,0,35920541,0,,Wolfgang Amadeus Mozart,residential,40,131.753,419876872,419876869,,,,,
393865793,419876899,0,35920543,0,,,residential,,180.539,419876899,393865793,,,,,
393865793,393865795,0,439034557,1,2,Avenida Central,tertiary,60,60.232,393865793,393865795,,,,,
419876899,419876936,0,35920544,0,,Calle 4,residential,,61.137,419876936,419876899,,,,,
419876899,419876925,0,35920543,0,,,residential,,162.734,419876925,419876899,,,,,
393865795,4353273006,0,439108921,1,2,Avenida Central,tertiary,30,10.611,393865795,4353273006,,,,,
393865795,419876936,0,428274844,0,,Federico Chopin,residential,40,216.706,419876936,393865795,,,,,
4353273006,393866100,0,437513572,0,,,tertiary_link,,9.466,393866100,4353273006,,,,,
4353273006,393865796,0,"[439108921, 604230109]",1,2,Avenida Central,tertiary,30,108.672,4353273006,393865796,,,,,
419876936,419877021,0,"[428274844, 35920547, 428274843]",0,,Federico Chopin,residential,40,567.23,419877021,419876936,,,,,
393865796,4354147322,0,604230109,1,2,Avenida Central,tertiary,30,19.996,393865796,4354147322,,,,,
393865796,419879544,0,35920799,0,,Jir??n Nicola Paganini,residential,,152.971,419879544,393865796,,,,,
4354147322,393866103,0,437609936,0,,,tertiary_link,,8.902,393866103,4354147322,,,,,
4354147322,4367436343,0,"[439108922, 604230109]",1,2,Avenida Central,tertiary,"['40', '30']",189.535,4354147322,4367436343,,,,,
419879544,419879548,0,568389978,1,,Jir??n Nicola Paganini,residential,,18.704,419879544,419879548,,,,,
419879544,419879554,0,568389977,1,,Jir??n Nicola Paganini,residential,,25.63,419879554,419879544,,,,,
393865809,393866114,0,439626257,0,,Miguel Angel Buonarroti,residential,,11.029,393866114,393865809,,,,,
393865809,393865812,0,439108922,1,2,Avenida Central,tertiary,40,135.768,393865809,393865812,,,,,
393865809,419879753,0,439626257,0,,Miguel Angel Buonarroti,residential,,87.413,419879753,393865809,,,,,
393865809,4354147323,0,439108922,1,2,Avenida Central,tertiary,40,282.722,4354147323,393865809,,,,,
393866114,1834251616,0,34334772,1,2,Avenida Central,tertiary,40,76.119,393866114,1834251616,,,,,
393866114,419879750,0,35920815,0,2,Miguel Angel Buonarroti,residential,40,51.332,419879750,393866114,,,,,
393866114,393866117,0,34334772,1,2,Avenida Central,tertiary,40,139.787,393866117,393866114,,,,,
393865812,419879679,0,439108922,1,2,Avenida Central,tertiary,40,62.784,393865812,419879679,,,,,
393865812,393866117,0,568389976,0,,,residential,,10.812,393866117,393865812,,,,,
393865812,419879700,0,"[428273611, 35920814]",0,,"['Pasaje 4', 'Jir??n Los Arqueologos']",residential,,107.182,419879700,393865812,,,,,
419879753,419879854,0,35920823,0,,Daniel Alomia Robles,residential,30,112.753,419879854,419879753,,,,,
419879753,419879697,0,35920823,0,,Daniel Alomia Robles,residential,30,186.91,419879697,419879753,,,,,
419879679,4367436355,0,439108922,1,2,Avenida Central,tertiary,40,34.826,419879679,4367436355,,,,,
419879679,4354147329,0,439626254,1,,Los Civiles,residential,,42.866,419879679,4354147329,,,,,
393866117,419879721,0,474933529,0,,Jir??n Los Poetas,residential,,66.773,419879721,393866117,,,,,
393866117,393866122,0,34334772,1,2,Avenida Central,tertiary,40,121.656,393866122,393866117,,,,,
419879700,419879697,0,35920813,0,,Jir??n Claude de Bussy,residential,,49.8,419879697,419879700,,,,,
419879700,419879683,0,428273611,0,,Jir??n Los Arqueologos,residential,,163.235,419879683,419879700,,,,,
393865817,393866122,0,35920802,0,,Los Forestales,residential,,12.342,393866122,393865817,,,,,
393865817,419879579,0,356069659,0,,Los Constructores,residential,40,47.685,419879579,393865817,,,,,
393865817,4367436358,0,439108928,0,,,residential,,8.834,4367436358,393865817,,,,,
393865817,4367436355,0,439108922,1,2,Avenida Central,tertiary,40,37.467,4367436355,393865817,,,,,
393866122,419879568,0,"[474933528, 35920802]",0,,"['Ludwig Van Beethoven', 'Los Forestales']",residential,40,346.741,419879568,393866122,,,,,
393866122,4367436358,0,439108929,1,,,residential,,15.381,4367436358,393866122,,,,,
419879579,4367436347,0,428273647,0,,,residential,,10.462,4367436347,419879579,,,,,
419879579,419879585,0,356069659,0,,Los Constructores,residential,40,294.2,419879585,419879579,,,,,
4367436358,4367436347,0,439108927,0,,,residential,,47.979,4367436347,4367436358,,,,,
4367436358,4373022259,0,439108927,0,,,residential,,24.543,4373022259,4367436358,,,,,
4354193702,4354193701,0,437618421,0,,,tertiary_link,,12.298,4354193701,4354193702,,,,,
419876844,419876841,0,35920535,0,,Jir??n Johan Sebastian Bach,residential,,137.909,419876841,419876844,,,,,
419876844,419866826,0,35920536,0,2,Calle Las Clivias,residential,,276.629,419866826,419876844,,,,,
393866100,5712491010,0,439108924,1,2,Avenida Central,tertiary,60,103.357,393866100,5712491010,,,,,
393866100,419876856,0,439108924,1,2,Avenida Central,tertiary,60,62.748,419876856,393866100,,,,,
393866103,419876856,0,439108924,1,2,Avenida Central,tertiary,60,64.306,393866103,419876856,,,,,
393866103,393866105,0,439108924,1,2,Avenida Central,tertiary,60,64.111,393866105,393866103,,,,,
419876856,5468419540,0,35920537,0,,Jir??n Las Fresias,residential,,212.967,5468419540,419876856,,,,,
393866105,419879563,0,35920801,0,2,Ludwig Van Beethoven,residential,40,113.083,419879563,393866105,,,,,
393866105,4367450361,0,34334772,1,2,Avenida Central,tertiary,40,147.973,4367450361,393866105,,,,,
419879563,419882965,0,35921088,0,,Avenida Jose Nicolas Rodrigo,residential,,246.61,419882965,419879563,,,,,
419879563,419879564,0,474933528,0,,Ludwig Van Beethoven,residential,40,136.631,419879564,419879563,,,,,
1834251616,4367450361,0,34334772,1,2,Avenida Central,tertiary,40,197.819,1834251616,4367450361,,,,,
1834251616,4367450358,0,111914983,0,,,living_street,,28.171,4367450358,1834251616,,,,,
419879750,419879747,0,35920815,0,2,Miguel Angel Buonarroti,residential,40,30.726,419879747,419879750,,,,,
419879750,419879721,0,35920816,0,,Los Abogados,residential,,146.392,419879721,419879750,,,,,
419879721,419879725,0,474933529,0,,Jir??n Los Poetas,residential,,64.199,419879725,419879721,,,,,
419879568,419879567,0,474933528,0,,Ludwig Van Beethoven,residential,40,53.906,419879567,419879568,,,,,
419879568,419879725,0,474933529,0,,Jir??n Los Poetas,residential,,151.576,419879725,419879568,,,,,
393866231,419876810,0,437498160,0,,Jir??n Aldebar?ín,tertiary,40,84.766,419876810,393866231,,,,,
419876810,419876813,0,35920520,0,,El Aliso,residential,20,67.972,419876813,419876810,,,,,
419876810,393866232,0,437498160,0,,Jir??n Aldebar?ín,tertiary,40,26.674,393866232,419876810,,,,,
393866232,419872599,0,35920056,0,,Santa Elena Norte,residential,,54.181,419872599,393866232,,,,,
393866232,3787828047,0,437498160,0,,Jir??n Aldebar?ín,tertiary,40,46.366,3787828047,393866232,,,,,
419872599,419872598,0,35920056,0,,Santa Elena Norte,residential,,17.146,419872598,419872599,,,,,
419872599,419872602,0,35920059,0,,Mazus,residential,20,92.025,419872602,419872599,,,,,
3787828047,3787828051,0,375412717,0,,,residential,20,73.728,3787828051,3787828047,,,,,
3787828047,393866233,0,437498160,0,,Jir??n Aldebar?ín,tertiary,40,46.121,393866233,3787828047,,,,,
393866233,419872602,0,35920058,0,,,residential,20,52.887,419872602,393866233,,,,,
393866233,2173168626,0,437498160,0,,Jir??n Aldebar?ín,tertiary,40,42.125,2173168626,393866233,,,,,
419872602,419872597,0,"[35920057, 35920058]",0,,Tamarix,residential,20,140.172,419872597,419872602,,,,,
2173168626,2173168623,0,111912725,0,,,living_street,20,28.701,2173168623,2173168626,,,,,
2173168626,393866235,0,437498160,0,,Jir??n Aldebar?ín,tertiary,40,19.823,393866235,2173168626,,,,,
393866235,419872622,0,35920067,0,,Helechos,residential,30,48.907,419872622,393866235,,,,,
419872622,419872625,0,35920067,0,,Helechos,residential,30,23.769,419872625,419872622,,,,,
419872622,419872636,0,35920070,0,,El Maizal,residential,,20.51,419872636,419872622,,,,,
419485130,419485131,0,35893642,0,2,Jir??n El Incario,residential,30,183.616,419485131,419485130,,,,,
419485130,4274242255,0,35893646,0,,Jir??n La Conquista,residential,30,69.129,4274242255,419485130,,,,,
419485130,393867268,0,35893646,0,,Jir??n La Conquista,residential,30,377.477,393867268,419485130,,,,,
393867099,4372737020,0,393898987,1,2,Avenida Manuel Olguin,tertiary,60,34.589,393867099,4372737020,,,,,
393867099,4372737013,0,34334993,1,2,Avenida Manuel Olguin,tertiary,60,26.235,4372737013,393867099,,,,,
6073976241,6073976239,0,35893645,0,2,Avenida Manuel Olguin,tertiary,40,35.05,6073976239,6073976241,,,,,
6073976241,6073976240,0,646458383,0,,,living_street,,71.517,6073976240,6073976241,,,,,
4372737020,4372737013,0,439602535,1,,,tertiary_link,,20.428,4372737013,4372737020,,,,,
6294974581,6294974582,0,672224670,0,,,tertiary_link,,12.458,6294974582,6294974581,,,,,
393867109,4353163720,0,35893568,0,,Jir??n El Cortijo,residential,40,14.963,4353163720,393867109,,,,,
393867109,4366751206,0,35893568,0,,Jir??n El Cortijo,residential,40,18.615,4366751206,393867109,,,,,
393867109,4353165250,0,280228317,1,2,Avenida Manuel Olguin,secondary,60,172.417,393867109,4353165250,,,,,
4353163720,4353165249,0,437503243,1,2,Avenida Manuel Olguin,secondary,60,171.765,4353165249,4353163720,,,,,
4366751206,419484645,0,35893568,0,,Jir??n El Cortijo,residential,40,46.885,419484645,4366751206,,,,,
4353165250,4353165249,0,437501571,0,1,,secondary_link,,10.806,4353165249,4353165250,,,,,
4353165250,419484652,0,280228317,1,2,Avenida Manuel Olguin,secondary,60,124.007,4353165250,419484652,,,,,
393867114,4353176307,0,403111709,0,,Las Tres Mar?¡as,residential,40,11.962,4353176307,393867114,,,,,
393867114,419484719,0,439190607,1,2,Avenida Manuel Olguin,secondary,60,185.04,393867114,419484719,,,,,
393867114,419484627,0,403111709,0,,Las Tres Mar?¡as,residential,40,100.251,419484627,393867114,,,,,
393867114,4366990650,0,439190607,1,2,Avenida Manuel Olguin,secondary,60,196.437,4366990650,393867114,,,,,
4353176307,393867273,0,437503243,1,2,Avenida Manuel Olguin,secondary,60,248.669,4353176307,393867273,,,,,
4353176307,4246030366,0,437503243,1,2,Avenida Manuel Olguin,secondary,60,185.046,4246030366,4353176307,,,,,
419484719,4246030366,0,35893584,0,,Orion,residential,30,12.017,4246030366,419484719,,,,,
419484719,419484725,0,35893584,0,,Orion,residential,30,111.758,419484725,419484719,,,,,
419484719,393867117,0,439190607,1,2,Avenida Manuel Olguin,secondary,60,201.902,419484719,393867117,,,,,
419484627,419484655,0,35893571,0,,V?¡a L?íctea,residential,40,195.455,419484655,419484627,,,,,
419484627,4366990649,0,35893571,0,,V?¡a L?íctea,residential,40,182.965,4366990649,419484627,,,,,
419484627,419484626,0,403111709,0,,Las Tres Mar?¡as,residential,40,75.193,419484626,419484627,,,,,
393867117,419484728,0,111945981,0,,Calle Centauro,residential,30,148.439,419484728,393867117,,,,,
393867117,1273784875,0,111945981,0,,Calle Centauro,residential,30,12.294,1273784875,393867117,,,,,
393867117,4353176308,0,439190607,1,2,Avenida Manuel Olguin,secondary,60,24.445,393867117,4353176308,,,,,
419484728,419484726,0,35893586,0,,V?¡a L?íctea,residential,30,161.154,419484726,419484728,,,,,
419484728,419484730,0,35893586,0,,V?¡a L?íctea,residential,30,177.963,419484730,419484728,,,,,
1273784875,4246030366,0,437503243,1,2,Avenida Manuel Olguin,secondary,60,201.833,1273784875,4246030366,,,,,
1273784875,4274076293,0,437503243,1,2,Avenida Manuel Olguin,secondary,60,23.927,4274076293,1273784875,,,,,
4353176308,4274076293,0,439075984,0,,,residential,,12.225,4274076293,4353176308,,,,,
4353176308,6129287596,0,439190607,1,2,Avenida Manuel Olguin,secondary,60,66.026,4353176308,6129287596,,,,,
393867119,4353191872,0,35893589,0,,Cruz del Sur,residential,50,14.796,4353191872,393867119,,,,,
393867119,419484715,0,35893589,0,,Cruz del Sur,residential,50,141.408,419484715,393867119,,,,,
393867119,4031865334,0,439190607,1,2,Avenida Manuel Olguin,secondary,60,65.895,393867119,4031865334,,,,,
393867119,6129287596,0,439190607,1,2,Avenida Manuel Olguin,secondary,60,166.522,6129287596,393867119,,,,,
4353191872,6129287592,0,439075985,1,3,Avenida Manuel Olguin,secondary,60,149.194,4353191872,6129287592,,,,,
4353191872,4353191873,0,439075985,1,3,Avenida Manuel Olguin,secondary,60,61.992,4353191873,4353191872,,,,,
419484715,419484712,0,35893589,0,,Cruz del Sur,residential,50,51.988,419484712,419484715,,,,,
419484715,419484730,0,35893586,0,,V?¡a L?íctea,residential,30,43.342,419484730,419484715,,,,,
4031865334,4353191873,0,437503246,0,1,,secondary_link,,13.992,4353191873,4031865334,,,,,
