"u,N,18,0","v,N,18,0","key,N,18,0","osmid,C,80","oneway,N,9,0","lanes,C,80","name,C,80","highway,C,80","maxspeed,C,80","length,N,24,15","from,N,18,0","to,N,18,0","ref,C,80","bridge,C,80","tunnel,C,80","junction,C,80","access,C,80"
263628771,440191945,0,37566632,0,2,Jir??n Barlovento,residential,,116.642,440191945,263628771,,,,,
263628772,414231262,0,35339028,0,2,Jir??n Preciados,residential,20,139.77,414231262,263628772,,,,,
440191945,414231262,0,37566621,0,2,Calle Antana,residential,,53.714,414231262,440191945,,,,,
440191945,440191853,0,37566632,0,2,Jir??n Barlovento,residential,,73.054,440191853,440191945,,,,,
414231262,440191849,0,37566621,0,2,Calle Antana,residential,,54.828,440191849,414231262,,,,,
263635939,4266807083,0,761049506,1,2,Avenida Rep??blica de Panam?í,primary,60,11.879,263635939,4266807083,,,,,
263635939,4266808695,0,28746575,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,47.758,263635939,4266808695,,,,,
263635939,2979651562,0,761049506,1,2,Avenida Rep??blica de Panam?í,primary,60,99.27,2979651562,263635939,,,,,
4266807083,263635941,0,"[761049506, 341077652]",1,2,Avenida Rep??blica de Panam?í,primary,"['60', '50']",163.747,4266807083,263635941,,,,,
4266807083,4266808694,0,436596798,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,48.248,4266808694,4266807083,,,,,
4266808695,386151942,0,28746575,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,24.123,4266808695,386151942,,,,,
4266808695,4266808694,0,427471773,0,1,,secondary_link,,14.067,4266808694,4266808695,,,,,
263635941,263635942,0,341077652,1,2,Avenida Rep??blica de Panam?í,primary,50,112.51,263635941,263635942,,,,,
263635941,386142908,0,33752874,0,,Calle Pedro Yirogoyen Diez Canseco,residential,30,124.186,386142908,263635941,,,,,
386142908,386151367,0,33752874,0,,Calle Pedro Yirogoyen Diez Canseco,residential,30,29.075,386151367,386142908,,,,,
289315317,289315319,0,"[439764107, 439764108, 439764109, 439764110]",1,4,Avenida Panamericana Sur,motorway,80,308.901,289315317,289315319,PE-1S,,,,
289315317,410467381,0,338245233,1,4,Avenida Panamericana Sur,motorway,80,89.956,410467381,289315317,PE-1S,,,,
289315317,410490358,0,34998388,1,2,,motorway_link,60,458.261,410490358,289315317,,,,,
289315319,442760511,0,429083097,1,2,,motorway_link,,66.177,289315319,442760511,,,,,
442760511,3214772983,0,315366534,1,2,Jir??n Coronel Pascual Saco Oliveros,tertiary,40,109.94,442760511,3214772983,,,,,
442760511,1753136217,0,172840637,1,2,Jir??n Coronel Pascual Saco Oliveros,residential,40,155.14,1753136217,442760511,,,,,
289316757,442759994,0,335971773,1,2,Avenida Caminos del Inca,secondary,50,10.907,289316757,442759994,,,,,
289316757,1414370591,0,314787096,1,2,Avenida Santiago de Surco,primary,40,66.828,289316757,1414370591,,,,,
289316757,386854906,0,438697172,1,2,Avenida Caminos del Inca,secondary,40,155.795,386854906,289316757,,,,,
289316757,1414370601,0,314787096,1,2,Avenida Santiago de Surco,primary,40,14.372,1414370601,289316757,,,,,
442759994,442760152,0,37749493,1,2,Avenida Los Pr??ceres,secondary,50,17.099,442759994,442760152,,,,,
442759994,3224340726,0,336117479,1,2,Avenida Santiago de Surco,primary,60,353.388,442759994,3224340726,,,,,
442759994,442759995,0,127873580,1,2,Avenida Santiago de Surco,primary,60,14.946,442759995,442759994,,,,,
1414370591,1414370577,0,127873654,0,2,Bay??bar,residential,30,89.116,1414370577,1414370591,,,,,
1414370591,1414370551,0,314787096,1,2,Avenida Santiago de Surco,primary,40,257.821,1414370591,1414370551,,,,,
289317011,3245299643,0,319786288,1,3,Avenida Santiago de Surco,primary,40,34.163,289317011,3245299643,,,,,
289317011,4109970289,0,338413090,1,2,Avenida Velasco Astete,secondary,60,22.636,289317011,4109970289,,,,,
289317011,1414370458,0,319786288,1,3,Avenida Santiago de Surco,primary,40,55.405,1414370458,289317011,,,,,
3245299643,3231006281,0,319786288,1,3,Avenida Santiago de Surco,primary,40,7.212,3245299643,3231006281,,,,,
3245299643,2761900772,0,318148697,1,2,Avenida Velasco Astete,secondary,40,25.801,2761900772,3245299643,,,,,
4109970289,2761900771,0,338413090,1,2,Avenida Velasco Astete,secondary,60,64.288,4109970289,2761900771,,,,,
4109970289,2761900772,0,409103377,1,1,,secondary_link,20,40.101,2761900772,4109970289,,,,,
289317016,386849198,0,892989344,1,2,Avenida Santiago de Surco,primary,60,15.214,289317016,386849198,,,,,
289317016,386849367,0,370644910,1,3,Avenida Ayacucho,secondary,40,68.948,289317016,386849367,,,,,
289317016,4328122031,0,434899824,1,2,Avenida Ayacucho,secondary,40,28.048,4328122031,289317016,,,,,
289317016,3245299589,0,331465756,1,2,Avenida Santiago de Surco,primary,60,70.178,3245299589,289317016,,,,,
386849198,316757541,0,319641212,1,3,Avenida Ayacucho,secondary,40,27.435,386849198,316757541,,,,,
386849198,390998933,0,"[319641231, 892989343]",1,2,Avenida Santiago de Surco,primary,40,177.877,386849198,390998933,,,,,
386849198,386849554,0,"[513715400, 111884607]",1,"['2', '3']",Avenida Ayacucho,secondary,40,70.004,386849554,386849198,,,,,
386849367,391000692,0,427836451,0,2,Jir??n David Roca Varea Sur,residential,40,81.508,391000692,386849367,,,,,
386849367,386849370,0,370644910,1,3,Avenida Ayacucho,secondary,40,123.476,386849367,386849370,,,,,
289317060,442759995,0,439924958,1,2,Avenida Los Pr??ceres,secondary,50,19.428,289317060,442759995,,,,,
289317060,4352904681,0,335757628,1,2,Avenida Santiago de Surco,primary,60,294.758,289317060,4352904681,,,,,
289317060,442760152,0,335757628,1,2,Avenida Santiago de Surco,primary,60,15.561,442760152,289317060,,,,,
289317060,442760161,0,319786287,1,2,Avenida Los Pr??ceres,secondary,50,9.986,442760161,289317060,,,,,
442759995,1414370601,0,33784606,1,2,Avenida Caminos del Inca,secondary,50,9.069,442759995,1414370601,,,,,
442759995,410467576,0,127873580,1,2,Avenida Santiago de Surco,primary,60,86.387,410467576,442759995,,,,,
4352904681,410467361,0,319650837,1,2,Avenida de Tom?ís Marsano,primary,60,5.709,4352904681,410467361,,,,,
4352904681,410490358,0,319650837,1,2,Avenida de Tom?ís Marsano,primary,60,187.902,410490358,4352904681,,,,,
289317496,316069873,0,318148696,1,2,Avenida Surco,secondary,40,18.892,289317496,316069873,,,,,
289317496,6129081521,0,331465756,1,2,Avenida Santiago de Surco,primary,60,59.133,289317496,6129081521,,,,,
289317496,4354297690,0,319786288,1,3,Avenida Santiago de Surco,primary,40,8.875,4354297690,289317496,,,,,
316069873,4201360353,0,318148696,1,2,Avenida Surco,secondary,40,9.53,316069873,4201360353,,,,,
316069873,4354297689,0,345763048,1,3,Avenida Santiago de Surco,primary,60,15.189,316069873,4354297689,,,,,
316069873,3245299587,0,345763048,1,3,Avenida Santiago de Surco,primary,60,534.363,3245299587,316069873,,,,,
6129081521,6129081520,0,654040771,1,1,,primary_link,,23.942,6129081521,6129081520,,,,,
6129081521,3245299589,0,331465756,1,2,Avenida Santiago de Surco,primary,60,476.876,6129081521,3245299589,,,,,
289318410,390683812,0,326171491,1,2,Avenida Santiago de Surco,primary,60,31.575,289318410,390683812,,,,,
289318410,4333984736,0,913218832,1,1,,primary_link,60,21.526,4333984736,289318410,,,,,
390683812,390681038,0,34089834,1,2,Avenida Los Vicus,secondary,40,65.131,390683812,390681038,,,,,
390683812,390683813,0,326171491,1,2,Avenida Santiago de Surco,primary,60,61.34,390683812,390683813,,,,,
315561471,471580193,0,279876630,1,5,Avenida Javier Prado Este,motorway,90,24.044,315561471,471580193,,,,,
471580193,1273741868,0,"[39359737, 39359738, 39359732]",1,,Acceso al Jockey Club del Per??,"['motorway_link', 'unclassified']",40,431.205,471580193,1273741868,,,yes,,
315561768,4459619573,0,"[1013534378, 1013534379, 394516731]",1,5,Avenida Panamericana Sur,motorway,80,435.792,4459619573,315561768,PE-1S,,,,
315562090,315562241,0,28706964,1,,Tr?®bol,motorway_link,60,223.117,315562090,315562241,,,,,
315562090,331607984,0,"[1013534376, 106995956]",1,3,Avenida V?¡a de Evitamiento,motorway,80,232.407,315562090,331607984,PE-1N,,,,
315562241,315562242,0,"[1025935724, 1025935725]",1,3,Avenida Javier Prado Este,motorway,80,262.983,315562242,315562241,,,,,
331607984,4032068107,0,45763043,1,4,Avenida V?¡a de Evitamiento,motorway,60,78.004,331607984,4032068107,PE-1N,,,,
331607984,315562242,0,"[28706971, 1025935726]",1,,Salida 1A,motorway_link,60,298.257,315562242,331607984,,,,,
315562242,2520610551,0,438660962,1,3,Avenida Javier Prado Este,motorway,80,79.807,2520610551,315562242,,,,,
315563734,315563777,0,151307867,1,3,Avenida Javier Prado Este,motorway,60,78.116,315563734,315563777,,,,,
315563734,6302716440,0,465977763,1,5,Avenida Javier Prado Este,motorway,60,59.663,6302716440,315563734,,,,,
315563777,2619951875,0,312666776,1,5,Monitor Hu?íscar,primary,40,11.328,315563777,2619951875,,,,roundabout,
315563777,5546490078,0,1025935723,1,5,Monitor Hu?íscar,primary,40,26.672,5546490078,315563777,,,,roundabout,
315563754,1024436939,0,28707150,1,4,Avenida Javier Prado Este,primary,60,280.353,315563754,1024436939,,,,,
315563754,315563781,0,312666776,1,5,Monitor Hu?íscar,primary,40,12.273,315563781,315563754,,,,roundabout,
1024436939,4214639805,0,621791089,1,4,Avenida Javier Prado Este,primary,60,15.376,1024436939,4214639805,,,,,
2619951875,315563781,0,312666776,1,5,Monitor Hu?íscar,primary,40,86.963,2619951875,315563781,,,,roundabout,
2619951875,4368666511,0,439199244,1,3,Avenida El Golf Los Incas,secondary,45,81.486,2619951875,4368666511,,,,,
315563781,4368666511,0,439235952,1,2,Avenida El Golf Los Incas,secondary,60,92.331,4368666511,315563781,,,,,
316069043,316069153,0,404431592,0,2,Calle Toledo,residential,,24,316069153,316069043,,,,,
316069043,390684677,0,436776930,0,2,Calle Toledo,residential,,69.116,390684677,316069043,,,,,
316069043,387442508,0,436776929,1,2,Avenida Paseo la Castellana,secondary,50,242.73,316069043,387442508,,,,,
316069043,390685341,0,28746522,1,2,Avenida Paseo la Castellana,secondary,60,149.16,390685341,316069043,,,,,
316069153,4067069414,0,404431588,0,2,Calle Mazo,residential,30,55.993,4067069414,316069153,,,,,
316069153,5476735790,0,436776928,1,2,Avenida Paseo la Castellana,secondary,60,148.007,316069153,5476735790,,,,,
316069153,387442555,0,28746524,1,2,Avenida Paseo la Castellana,secondary,50,130.029,387442555,316069153,,,,,
390684677,390684678,0,34089858,0,2,Jir??n de Castilla la Vieja,residential,,147.106,390684678,390684677,,,,,
390684677,390684676,0,34089858,0,2,Jir??n de Castilla la Vieja,residential,,89.512,390684676,390684677,,,,,
387442508,387442526,0,173113026,0,2,Calle Hermanos Quinteros,residential,,65.73,387442526,387442508,,,,,
387442508,387440834,0,436776929,1,2,Avenida Paseo la Castellana,secondary,50,61.281,387442508,387440834,,,,,
4067069414,387439725,0,427836446,0,2,Jir??n Punta Sal,residential,,66.706,387439725,4067069414,,,,,
4067069414,5476735789,0,111936779,0,2,Jir??n Punta Sal,residential,,149.538,5476735789,4067069414,,,,,
5476735790,5476735789,0,569472768,0,,,residential,,67.739,5476735789,5476735790,,,,,
5476735790,316069851,0,436776928,1,2,Avenida Paseo la Castellana,secondary,60,147.552,5476735790,316069851,,,,,
316069674,6290641357,0,315557549,1,2,Avenida Caminos del Inca,secondary,60,74.112,316069674,6290641357,,,,,
316069674,386853552,0,892442184,1,3,Avenida Alfredo Benavides,primary,60,11.249,316069674,386853552,,,,,
316069674,316069680,0,892443233,1,3,Avenida Caminos del Inca,secondary,60,13.394,316069680,316069674,,,,,
316069674,1415718284,0,437346933,1,2,Avenida Alfredo Benavides,primary,60,69.473,1415718284,316069674,,,,,
6290641357,386853475,0,671770342,0,,Calle de Inquisisci??n,residential,,10.358,386853475,6290641357,,,,,
6290641357,1273642013,0,315557549,1,2,Avenida Caminos del Inca,secondary,60,101.966,6290641357,1273642013,,,,,
386853552,386853570,0,892442183,1,3,Avenida Caminos del Inca,secondary,60,13.415,386853552,386853570,,,,,
386853552,1412884972,0,315557555,1,3,Avenida Alfredo Benavides,primary,60,172.492,386853552,1412884972,,,,,
386853552,386853475,0,338413093,1,3,Avenida Caminos del Inca,secondary,60,73.418,386853475,386853552,,,,,
316069680,1839151876,0,320601927,1,2,Avenida Alfredo Benavides,primary,60,133.3,316069680,1839151876,,,,,
316069680,386853570,0,892442182,1,2,Avenida Alfredo Benavides,primary,60,11.676,386853570,316069680,,,,,
316069680,386855179,0,437459342,1,3,Avenida Caminos del Inca,secondary,60,73.732,386855179,316069680,,,,,
1839151876,496750637,0,52967827,0,2,Calle Aldabas,residential,30,14.39,496750637,1839151876,,,,,
1839151876,671080669,0,52967827,0,2,Calle Aldabas,residential,30,74.328,671080669,1839151876,,,,,
1839151876,4351565957,0,320601927,1,2,Avenida Alfredo Benavides,primary,60,106.325,1839151876,4351565957,,,,,
316069681,3246794233,0,318283095,1,2,,primary_link,,31.273,316069681,3246794233,,,,,
316069681,386851431,0,405572367,1,2,Avenida Alfredo Benavides,primary,60,23.336,316069681,386851431,,,,,
316069681,1757042099,0,405572367,1,2,Avenida Alfredo Benavides,primary,60,178.639,1757042099,316069681,,,,,
3246794233,1757042204,0,438939886,1,2,Avenida Velasco Astete,secondary,60,51.202,3246794233,1757042204,,,,,
3246794233,386851431,0,438939886,1,2,Avenida Velasco Astete,secondary,60,27.07,386851431,3246794233,,,,,
386851431,316069682,0,405572367,1,2,Avenida Alfredo Benavides,primary,60,20.026,386851431,316069682,,,,,
386851431,386850385,0,438939886,1,2,Avenida Velasco Astete,secondary,60,15.561,386850385,386851431,,,,,
316069682,386850384,0,437461660,1,2,Avenida Velasco Astete,secondary,60,16.049,316069682,386850384,,,,,
316069682,1273926188,0,405572367,1,2,Avenida Alfredo Benavides,primary,60,115.209,316069682,1273926188,,,,,
316069682,386852144,0,437461660,1,2,Avenida Velasco Astete,secondary,60,110.345,386852144,316069682,,,,,
386850384,386850385,0,437346933,1,2,Avenida Alfredo Benavides,primary,60,20.974,386850384,386850385,,,,,
386850384,3442269454,0,437461660,1,2,Avenida Velasco Astete,secondary,60,112.13,386850384,3442269454,,,,,
386850384,440918149,0,437346933,1,2,Avenida Alfredo Benavides,primary,60,88.613,440918149,386850384,,,,,
1273926188,392151155,0,405572367,1,2,Avenida Alfredo Benavides,primary,60,321.733,1273926188,392151155,,,,,
1273926188,1757042189,0,438615989,0,2,Alameda del Arco Iris,residential,,55.394,1757042189,1273926188,,,,,
316069714,316069730,0,892933336,1,2,Avenida Ayacucho,secondary,40,15.16,316069714,316069730,,,,,
316069714,440186544,0,120114606,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,95.437,316069714,440186544,,,,,
316069714,442761704,0,120114606,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,15.548,442761704,316069714,,,,,
316069714,4067049942,0,892933336,1,2,Avenida Ayacucho,secondary,40,41.945,4067049942,316069714,,,,,
316069730,3247349768,0,316901487,1,2,Avenida Ayacucho,secondary,50,17.372,316069730,3247349768,,,,,
316069730,414231200,0,892990305,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,15.466,316069730,414231200,,,,,
316069730,440190934,0,892990305,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,94.877,440190934,316069730,,,,,
440186544,440190934,0,427846090,0,2,Jir??n Los Faiques,residential,,15.594,440190934,440186544,,,,,
440186544,440184619,0,37566558,0,2,Jir??n Los Faiques,residential,,254.968,440184619,440186544,,,,,
440186544,440185001,0,120114606,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,99.538,440186544,440185001,,,,,
316069716,316069851,0,331467522,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,25.003,316069716,316069851,,,,,
316069716,390685341,0,28746522,1,2,Avenida Paseo la Castellana,secondary,60,145.856,316069716,390685341,,,,,
316069716,390684709,0,513702230,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,67.627,390684709,316069716,,,,,
316069716,1603977566,0,430592333,1,2,Paseo La Castellana,secondary,,15.182,1603977566,316069716,,,,,
